,time,package_id,core_0,core_1
382,Thu Nov 18 17:19:53 2021,57.0,54.0,56.0
383,Thu Nov 18 17:19:55 2021,57.0,53.0,55.0
384,Thu Nov 18 17:19:57 2021,56.0,54.0,56.0
385,Thu Nov 18 17:19:59 2021,57.0,53.0,55.0
386,Thu Nov 18 17:20:01 2021,57.0,53.0,55.0
387,Thu Nov 18 17:20:03 2021,56.0,53.0,57.0
388,Thu Nov 18 17:20:05 2021,56.0,53.0,56.0
389,Thu Nov 18 17:20:07 2021,56.0,54.0,56.0
390,Thu Nov 18 17:20:09 2021,56.0,54.0,55.0
391,Thu Nov 18 17:20:11 2021,58.0,53.0,56.0
392,Thu Nov 18 17:20:13 2021,57.0,53.0,56.0
393,Thu Nov 18 17:20:15 2021,56.0,53.0,56.0
394,Thu Nov 18 17:20:17 2021,56.0,53.0,56.0
395,Thu Nov 18 17:20:19 2021,56.0,53.0,55.0
396,Thu Nov 18 17:20:21 2021,56.0,53.0,55.0
397,Thu Nov 18 17:20:23 2021,57.0,53.0,55.0
398,Thu Nov 18 17:20:25 2021,56.0,54.0,55.0
399,Thu Nov 18 17:20:27 2021,57.0,54.0,55.0
400,Thu Nov 18 17:20:29 2021,57.0,53.0,56.0
401,Thu Nov 18 17:20:31 2021,57.0,53.0,55.0
402,Thu Nov 18 17:20:33 2021,57.0,53.0,55.0
403,Thu Nov 18 17:20:35 2021,56.0,54.0,56.0
404,Thu Nov 18 17:20:37 2021,56.0,53.0,55.0
405,Thu Nov 18 17:20:39 2021,58.0,53.0,57.0
406,Thu Nov 18 17:20:41 2021,56.0,52.0,55.0
407,Thu Nov 18 17:20:43 2021,57.0,52.0,56.0
408,Thu Nov 18 17:20:45 2021,57.0,53.0,56.0
409,Thu Nov 18 17:20:47 2021,57.0,53.0,56.0
410,Thu Nov 18 17:20:49 2021,57.0,53.0,55.0
411,Thu Nov 18 17:20:51 2021,56.0,53.0,55.0
412,Thu Nov 18 17:20:53 2021,57.0,53.0,56.0
413,Thu Nov 18 17:20:55 2021,56.0,54.0,55.0
414,Thu Nov 18 17:20:57 2021,56.0,52.0,56.0
415,Thu Nov 18 17:20:59 2021,56.0,53.0,56.0
416,Thu Nov 18 17:21:01 2021,56.0,52.0,55.0
417,Thu Nov 18 17:21:03 2021,56.0,52.0,56.0
418,Thu Nov 18 17:21:05 2021,56.0,53.0,55.0
419,Thu Nov 18 17:21:07 2021,57.0,53.0,56.0
420,Thu Nov 18 17:21:09 2021,56.0,53.0,55.0
421,Thu Nov 18 17:21:11 2021,56.0,53.0,56.0
422,Thu Nov 18 17:21:13 2021,56.0,54.0,55.0
423,Thu Nov 18 17:21:15 2021,56.0,53.0,56.0
424,Thu Nov 18 17:21:17 2021,56.0,53.0,56.0
425,Thu Nov 18 17:21:19 2021,56.0,54.0,55.0
426,Thu Nov 18 17:21:21 2021,56.0,54.0,56.0
427,Thu Nov 18 17:21:23 2021,56.0,54.0,55.0
428,Thu Nov 18 17:21:25 2021,57.0,54.0,55.0
